,Australia,Austria,Belgium,Canada,Czechia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Japan,South Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Slovakia,Spain,Sweden,United Kingdom,United States,Chile,Estonia,Slovenia,Switzerland,Latvia,Lithuania,European Union
,/home/adarsh/Downloads/flags/au.png,/home/adarsh/Downloads/flags/at.png,/home/adarsh/Downloads/flags/be.png,/home/adarsh/Downloads/flags/ca.png,/home/adarsh/Downloads/flags/cz.png,/home/adarsh/Downloads/flags/fi.png,/home/adarsh/Downloads/flags/fr.png,/home/adarsh/Downloads/flags/de.png,/home/adarsh/Downloads/flags/gr.png,/home/adarsh/Downloads/flags/hu.png,/home/adarsh/Downloads/flags/ie.png,/home/adarsh/Downloads/flags/it.png,/home/adarsh/Downloads/flags/jp.png,/home/adarsh/Downloads/flags/kr.png,/home/adarsh/Downloads/flags/lu.png,/home/adarsh/Downloads/flags/mx.png,/home/adarsh/Downloads/flags/nl.png,/home/adarsh/Downloads/flags/nz.png,/home/adarsh/Downloads/flags/no.png,/home/adarsh/Downloads/flags/pl.png,/home/adarsh/Downloads/flags/sk.png,/home/adarsh/Downloads/flags/es.png,/home/adarsh/Downloads/flags/se.png,/home/adarsh/Downloads/flags/gb.png,/home/adarsh/Downloads/flags/us.png,/home/adarsh/Downloads/flags/cl.png,/home/adarsh/Downloads/flags/ee.png,/home/adarsh/Downloads/flags/si.png,/home/adarsh/Downloads/flags/ch.png,/home/adarsh/Downloads/flags/lv.png,/home/adarsh/Downloads/flags/lt.png,/home/adarsh/Downloads/flags/eu.png
,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey
2020-03,62370,60541,56638,92097,25930,77166,80152,37805,161722,41125,59180,93361,27819,38972,65069,43845,47458,44666,36000,31902,67111,154111,83763,39967,76374,104521,67652,49736,42173,80097,82416,71791
2020-04,61247,60687,57250,90354,26145,77125,80062,37541,160375,41062,59520,93541,27854,38750,64145,43602,46937,43999,39444,32062,67166,153499,84187,40435,74104,102930,67062,49562,44427,79645,81041,71645
2020-05,60123,60833,57861,88611,26361,77083,79972,37277,159027,41000,59861,93722,27888,38527,63222,43359,46416,43333,42888,32222,67222,152888,84611,40903,71833,101339,66472,49388,46680,79194,79666,71499
2020-06,58999,60979,58472,86868,26576,77041,79881,37013,157680,40937,60201,93902,27923,38305,62298,43116,45895,42666,46333,32381,67277,152277,85034,41371,69562,99749,65881,49215,48934,78743,78291,71354
2020-07,57876,61125,59083,85125,26791,77000,79791,36750,156333,40875,60541,94083,27958,38083,61374,42872,45375,41999,48222,32541,67333,151666,85458,43741,67291,98158,65291,49041,49441,78291,76916,71208
2020-08,56752,61270,59694,83381,27006,76958,79701,36486,154986,40812,60881,94263,27993,37861,60451,42629,44854,41333,50111,32701,67388,151055,85881,46111,65020,96567,64701,48868,49948,77840,75541,71062
2020-09,55628,61416,60305,81638,27222,76916,79611,36222,153638,40750,61222,94444,28027,37638,59527,42386,44333,40666,52000,32861,67444,150444,86305,48480,62749,94977,64111,48694,50454,77388,74166,70916
2020-10,54504,61562,60916,79895,27437,76875,79520,35958,152291,40687,61562,94624,28062,37416,58604,42142,43812,40000,51444,33020,67500,149833,86729,49719,60479,93386,63520,48520,50657,76937,72791,70770
2020-11,53381,61708,61527,78152,27652,76833,79430,35694,150944,40625,61902,94805,28097,37194,57680,41899,43291,39333,50888,33180,67555,149222,87152,50959,58208,91795,62930,48347,50859,76486,71416,70624
2020-12,52257,61854,62138,76409,27868,76791,79340,35430,149597,40562,62243,94986,28131,36972,56756,41656,42770,38666,50333,33340,67611,148611,87576,52198,55937,90205,62340,48173,51061,76034,70041,70479
2021-01,51133,62000,62750,74666,28083,76750,79250,35166,148250,40500,62583,95166,28166,36750,55833,41413,42250,38000,49555,33500,67666,148000,88000,51084,53666,88614,61750,48000,52118,75583,68666,70333
2021-02,55493,66000,64708,79333,30375,78208,79791,37083,156125,41916,68458,98083,28083,40541,58916,42620,44458,41999,48777,35750,69500,152166,89833,49970,57833,96268,65708,50166,53174,76125,68833,72500
2021-03,59853,70000,66666,84000,32666,79666,80333,39000,164000,43333,74333,101000,28000,44333,62000,43828,46666,46000,48000,38000,71333,156333,91666,48856,62000,103923,69666,52333,54230,76666,69000,74666
2021-04,57061,68888,65666,82222,32000,80222,81000,38000,162666,42666,72666,99888,28333,41999,60888,43601,45666,43999,48555,37333,70888,155444,91777,48317,61000,99783,68555,49999,53932,77222,71222,74111
2021-05,54270,67777,64666,80444,31333,80777,81666,37000,161333,41999,70999,98777,28666,39666,59777,43375,44666,42000,49111,36666,70444,154555,91888,47778,60000,95643,67444,47666,53635,77777,73444,73555
2021-06,51478,66666,63666,78666,30666,81333,82333,36000,160000,41333,69333,97666,29000,37333,58666,43148,43666,40000,49666,36000,70000,153666,92000,47239,59000,91504,66333,45333,53337,78333,75666,73000
2021-07,49636,63222,63222,76333,29333,79222,81111,35222,152444,40666,64444,95555,28666,34999,56888,42197,42888,37666,46333,34333,68666,151444,90111,45703,56333,88272,63777,45444,52069,76777,73777,71444
2021-08,47793,59777,62777,74000,28000,77111,79888,34444,144888,39999,59555,93444,28333,32666,55111,41247,42111,35333,43000,32666,67333,149222,88222,44167,53666,85040,61222,45555,50801,75222,71888,69888
2021-09,45951,56333,62333,71666,26666,75000,78666,33666,137333,39333,54666,91333,28000,30333,53333,40296,41333,33000,39666,31000,66000,147000,86333,42631,51000,81809,58666,45666,49533,73666,70000,68333
2021-10,46178,55111,61111,68777,25222,73000,77444,33222,135444,38888,53666,91333,27777,31444,52222,39642,40222,32666,36000,30555,65333,142777,85111,40828,48111,80405,56555,46111,0,73333,66777,67222
2021-11,46404,53888,59888,65888,23777,71000,76222,32777,133555,38444,52666,91333,27555,32555,51111,38988,39111,32333,35000,30111,64666,138555,83888,0,45222,79001,54444,46555,0,73000,63555,66111
2021-12,46631,52666,58666,63000,22333,69000,75000,32333,131666,38000,51666,91333,27333,33666,50000,38335,38000,32000,0,29666,64000,134333,82666,0,42333,77598,52333,47000,0,72666,60333,65000
2022-01,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0
